,,period,name,degree
adm-zip@0.4.3,0.00028741017062109634,2014-01-01,adm-zip@0.4.3,0.00028741017062109634
adm-zip@0.4.4,0.00015944064055555495,2015-09-01,adm-zip@0.4.4,0.00015944064055555495
adm-zip@0.4.4,0.00018295148569851398,2015-06-01,adm-zip@0.4.4,0.00018295148569851398
adm-zip@0.4.4,0.00020388372934897686,2015-03-01,adm-zip@0.4.4,0.00020388372934897686
adm-zip@0.4.7,0.00022182144251941608,2017-03-01,adm-zip@0.4.7,0.00022182144251941608
adm-zip@0.4.7,0.00022280396273281666,2017-06-01,adm-zip@0.4.7,0.00022280396273281666
ansi-color@0.2.1,0.00021776896259356342,2014-06-01,ansi-color@0.2.1,0.00021776896259356342
ansi-color@0.2.1,0.00024062019713429975,2014-04-01,ansi-color@0.2.1,0.00024062019713429975
ansi-color@0.2.1,0.00025770960567725077,2014-03-01,ansi-color@0.2.1,0.00025770960567725077
ansi-color@0.2.1,0.0002682577978159433,2014-01-01,ansi-color@0.2.1,0.0002682577978159433
ansi-color@0.2.1,0.00032957862441324666,2013-09-01,ansi-color@0.2.1,0.00032957862441324666
ansi-color@0.2.1,0.00034218951933799043,2013-06-01,ansi-color@0.2.1,0.00034218951933799043
ansi-color@0.2.1,0.000359134911277876,2013-01-01,ansi-color@0.2.1,0.000359134911277876
ansi-color@0.2.1,0.0004036503411518192,2013-03-01,ansi-color@0.2.1,0.0004036503411518192
ansi-regex@0.2.1,0.00030072125990061963,2015-01-01,ansi-regex@0.2.1,0.00030072125990061963
ansi-regex@0.2.1,0.00045634862948458276,2016-03-01,ansi-regex@0.2.1,0.00045634862948458276
ansi-regex@0.2.1,0.0005058792032140548,2016-01-01,ansi-regex@0.2.1,0.0005058792032140548
ansi-regex@0.2.1,0.0006069088511329517,2015-09-01,ansi-regex@0.2.1,0.0006069088511329517
ansi-regex@0.2.1,0.0006857619289657282,2015-06-01,ansi-regex@0.2.1,0.0006857619289657282
ansi-regex@0.2.1,0.0007124314815059583,2015-03-01,ansi-regex@0.2.1,0.0007124314815059583
ansi-regex@1.0.0,0.00022791573834021961,2017-01-01,ansi-regex@1.0.0,0.00022791573834021961
ansi-regex@1.0.0,0.0002360573164348661,2016-09-01,ansi-regex@1.0.0,0.0002360573164348661
ansi-regex@1.0.0,0.00024284161082355722,2016-06-01,ansi-regex@1.0.0,0.00024284161082355722
ansi-regex@1.0.0,0.0004704421103420027,2015-06-01,ansi-regex@1.0.0,0.0004704421103420027
ansi-regex@1.0.0,0.0006727076136349244,2015-09-01,ansi-regex@1.0.0,0.0006727076136349244
ansi-regex@1.0.0,0.0007493766063428213,2016-03-01,ansi-regex@1.0.0,0.0007493766063428213
ansi-regex@1.0.0,0.0007601938108936077,2016-01-01,ansi-regex@1.0.0,0.0007601938108936077
ansi-regex@1.1.0,0.00017002351130283885,2015-06-01,ansi-regex@1.1.0,0.00017002351130283885
ansi-regex@1.1.0,0.00023719221013153584,2015-09-01,ansi-regex@1.1.0,0.00023719221013153584
ansi-regex@1.1.0,0.00024312616274458853,2016-03-01,ansi-regex@1.1.0,0.00024312616274458853
ansi-regex@1.1.0,0.0002496945968438408,2016-01-01,ansi-regex@1.1.0,0.0002496945968438408
ansi-regex@2.0.0,0.0001822868553905927,2016-06-01,ansi-regex@2.0.0,0.0001822868553905927
ansi-regex@2.0.0,0.00019278898083697734,2015-09-01,ansi-regex@2.0.0,0.00019278898083697734
ansi-regex@2.0.0,0.00019528852928243787,2016-09-01,ansi-regex@2.0.0,0.00019528852928243787
ansi-regex@2.0.0,0.00021334146547331655,2017-01-01,ansi-regex@2.0.0,0.00021334146547331655
ansi-regex@2.0.0,0.0006360467562994085,2016-01-01,ansi-regex@2.0.0,0.0006360467562994085
ansi-regex@2.0.0,0.0008868257944006475,2016-03-01,ansi-regex@2.0.0,0.0008868257944006475
